date,sentiment,close,volume,open_interest,pct_change
2026-01-20,0.0,437.0,51993,40047,-0.09
2026-01-21,0.0,440.8,78058,39936,0.87
2026-01-22,0.0,446.4,84207,43267,1.27
2026-01-23,0.0,441.9,95141,45295,-1.01
2026-01-26,0.0,457.3,136743,52435,3.48
2026-01-27,0.0,446.7,121039,48163,-2.32
2026-01-28,0.0,460.3,143169,48237,3.04
2026-01-29,0.0,472.5,144192,48378,2.65
2026-01-30,0.0,470.8,310456,44092,-0.36
2026-02-02,0.0,449.0,197249,36191,-4.63
2026-02-03,0.0,449.4,115098,31633,0.09
2026-02-04,0.0,462.4,99401,27679,2.89
2026-02-05,0.0,467.2,76182,32928,1.04
2026-02-06,0.0,469.8,88014,37214,0.56
2026-02-09,0.0,464.2,119646,43008,-1.19
2026-02-10,0.0,476.1,109979,44264,2.56
2026-02-11,0.0,476.8,82615,45913,0.15
2026-02-12,0.0,476.8,89585,43712,0.0
2026-02-13,0.0,460.7,105973,37537,-3.38
2026-02-24,-0.17294014864006693,493.3,57134,39124,7.08
2026-02-25,0.0,488.3,101539,41463,-1.01
2026-02-26,-0.19154213491740427,483.6,75036,40604,-0.96
